,0,1,2,3,4
193,2019-08-21,1502.86000,XAU,USD,48.31806601705018
194,2019-08-20,1506.54000,XAU,USD,48.43638075225023
195,2019-08-19,1495.34000,XAU,USD,48.07629242772834
196,2019-08-18,1509.71000,XAU,USD,48.53829860838723
197,2019-08-17,1512.68000,XAU,USD,48.63378631587205
198,2019-08-16,1512.68000,XAU,USD,48.63378631587205
199,2019-08-15,1522.46000,XAU,USD,48.94822058496348
200,2019-08-14,1517.53000,XAU,USD,48.78971742068733
201,2019-08-13,1501.67000,XAU,USD,48.27980663256973
202,2019-08-12,1512.17000,XAU,USD,48.617389436809
203,2019-08-11,1496.53000,XAU,USD,48.114551812208795
204,2019-08-10,1497.19500,XAU,USD,48.13593205647728
205,2019-08-09,1497.19500,XAU,USD,48.13593205647728
206,2019-08-08,1502.51000,XAU,USD,48.306813256908875
207,2019-08-07,1497.82000,XAU,USD,48.15602627101533
208,2019-08-06,1473.50000,XAU,USD,47.37412019491067
209,2019-08-05,1473.92000,XAU,USD,47.387623507080235
210,2019-08-04,1438.03000,XAU,USD,46.233733331447155
211,2019-08-03,1440.65000,XAU,USD,46.31796827879067
212,2019-08-02,1440.65000,XAU,USD,46.31796827879067
213,2019-08-01,1438.98000,XAU,USD,46.264276537544994
214,2019-07-31,1414.82000,XAU,USD,45.48751458036207
215,2019-07-30,1430.85000,XAU,USD,46.00289099483401
216,2019-07-29,1424.65000,XAU,USD,45.80355638661655
217,2019-07-28,1419.70000,XAU,USD,45.644410207475175
218,2019-07-27,1418.72000,XAU,USD,45.61290247907951
219,2019-07-26,1418.72000,XAU,USD,45.61290247907951
220,2019-07-25,1415.87000,XAU,USD,45.52127286078599
221,2019-07-24,1426.26000,XAU,USD,45.855319083266565
222,2019-07-23,1417.04000,XAU,USD,45.55888923040123
223,2019-07-22,1424.29000,XAU,USD,45.79198211904262
224,2019-07-21,1424.84000,XAU,USD,45.80966502783611
225,2019-07-20,1425.11500,XAU,USD,45.818506482232856
226,2019-07-19,1425.11500,XAU,USD,45.818506482232856
227,2019-07-18,1442.62000,XAU,USD,46.3813052430146
228,2019-07-17,1426.61000,XAU,USD,45.86657184340787
229,2019-07-16,1405.16000,XAU,USD,45.17693840046194
230,2019-07-15,1416.45500,XAU,USD,45.54008104559361
231,2019-07-14,1417.55500,XAU,USD,45.57544686318058
232,2019-07-13,1415.18000,XAU,USD,45.49908884793599
233,2019-07-12,1415.18000,XAU,USD,45.49908884793599
234,2019-07-11,1404.78000,XAU,USD,45.164721118022804
235,2019-07-10,1420.71000,XAU,USD,45.67688245816867
236,2019-07-09,1396.02000,XAU,USD,44.88308060705747
237,2019-07-08,1394.44000,XAU,USD,44.83228243270528
238,2019-07-07,1395.72000,XAU,USD,44.87343538407921
239,2019-07-06,1398.44500,XAU,USD,44.96104615946511
240,2019-07-05,1398.44500,XAU,USD,44.96104615946511
241,2019-07-04,1423.09000,XAU,USD,45.753401227129565
242,2019-07-03,1416.70000,XAU,USD,45.547957977692526
243,2019-07-02,1428.12000,XAU,USD,45.915119465731806
244,2019-07-01,1387.13500,XAU,USD,44.59742125318453
245,2019-06-30,1396.07500,XAU,USD,44.88484889793682
246,2019-06-29,1410.06500,XAU,USD,45.33463779615657
247,2019-06-28,1410.06500,XAU,USD,45.33463779615657
248,2019-06-27,1408.86500,XAU,USD,45.296056904243514
249,2019-06-26,1407.67000,XAU,USD,45.25763676604676
250,2019-06-25,1417.19000,XAU,USD,45.56371184189036
251,2019-06-24,1423.00500,XAU,USD,45.7506684139524
252,2019-06-23,1405.46500,XAU,USD,45.18674437715651
253,2019-06-22,1398.95000,XAU,USD,44.977282284811864
254,2019-06-21,1398.95000,XAU,USD,44.977282284811864
255,2019-06-20,1388.94000,XAU,USD,44.65545334477042
256,2019-06-19,1359.29000,XAU,USD,43.70218380708525
257,2019-06-18,1345.70000,XAU,USD,43.265255206169854
258,2019-06-17,1339.37500,XAU,USD,43.06190175504477
